PUBLISHER,IMPRESSIONS,AUTOMATED,DATA_CENTER,INCONGRUOUS
thedailybeast,77524694,3494,384430,98231
loudwire,10646041,1918,86300,67043
time,26559874,1233,117131,40782
screencrush,3459176,1231,17770,18984
starmagazine,1159748,1225,2923,13046
xxlmag,55024523,1028,278101,99390
tv,5788920,977,88351,61943
hotnewhiphop,48917248,945,153687,19306
cnn,293805245,867,1051469,484898
livestrong,97120036,825,319293,130535
popcrush,3754422,800,114463,19684
looper,11219236,748,23201,8424
si,28582505,663,92949,14286
elitedaily,58746742,608,220420,126856
tasteofcountry,8652005,577,25945,38315
etonline,56963430,537,116853,37056
cbssports,19133048,489,66103,46857
bhg,7961916,483,203179,214356
menshealth,27052139,448,156375,51339
womenshealthmag,21603240,414,96419,57411
sheknows,2697298,413,22980,13433
variety,6166719,401,23880,27359
cbs,16253164,396,39400,33032
ranker,14304599,394,39999,13695
ehow,11964944,388,53123,49455
eonline,115086260,388,183164,677803
zdnet,779689,362,29617,27958
hollywoodreporter,26327993,313,92676,43475
justjared,11171350,308,32863,6692
prevention,11226736,283,36209,48558
businessinsider,41058684,280,213480,87970
ultimateclassicrock,9875085,279,32049,26689
cnet,8172885,279,146584,56617
telemundo,84791219,272,222506,136168
nbcsports,29873323,255,107009,131085
runnersworld,9710939,242,30778,34326
rodalesorganiclife,2079594,208,7900,24944
shape,11456615,208,61766,53608
cbsnews,39648801,202,121319,87484
elmundo,1914929,201,35352,30391
elle,11929046,201,40062,13509
decider,815796,191,3837,3447
hollywood,1579224,182,12825,20058
drphil,7449560,182,19027,4390
mtv,5438403,180,23230,9715
msnbc,27544775,164,88233,26036
askmen,35215468,158,371697,147071
hollywoodlife,7817362,154,26015,19670
parents,10228456,152,104910,93035
stylecaster,736156,152,6778,8448
billboard,21244264,149,119253,30950
realsimple,8562871,148,20241,18437
extratv,4625680,147,9313,68756
allrecipes,43243887,140,236426,141016
google,52438297,122,147152,2191
travelandleisure,10005097,114,30445,20494
cnbc,70310151,107,272488,186980
venturebeat,104162,107,1302,1446
bicycling,1383460,106,6687,16638
southernliving,17404820,85,27534,12445
foodnetwork,124741478,85,274835,266999
marthastewart,7093570,81,78173,63812
ehowenespanol,1396942,77,11345,60683
gamespot,29653899,77,106278,33296
health,7934371,72,23135,13758
womansday,4488071,70,16427,23370
golfchannel,9991620,69,23990,11143
popularmechanics,4376077,68,36429,18573
essence,16150194,61,25129,10959
today,139461755,59,184835,62983
elledecor,2716443,57,17193,17770
housebeautiful,7093245,57,15231,23866
chron,563714,56,6042,4760
mensfitness,8510728,55,41293,24365
countryliving,24236704,53,42552,38649
tvline,5592391,52,18276,21370
lifeandstylemag,259981651,52,373219,125616
instyle,8227233,52,19960,22609
rottentomatoes,16211275,52,52230,10193
saveur,370906,50,1602,3774
vh1,7035968,48,15431,6390
intouchweekly,291511337,44,317765,124242
thehill,22287712,42,92948,33858
maxpreps,9540047,42,52858,17153
thebump,4479768,41,10455,1539
csnphilly,1462785,41,5102,3844
rap-up,2727146,39,12831,8892
foodandwine,8642949,39,21938,17518
tmz,26832422,37,50883,27120
ew,24746253,36,62659,26884
bgr,2675113,35,25835,10535
townandcountrymag,3741581,35,17588,17198
