DOMAIN,DATE,APD,TUS,TUI,TUH,TET,SIZE,FORMAT,EXECUTION
littlethings.com,2017-01-01,3.197403609,1.853420982,1.421870639,14.789789206,2.176248984,1x1,Anchor,animated
littlethings.com,2017-01-01,2.255112909,1.166342882,0.558310114,5.020060802,2.714041798,NULL,BreakOut,NULL
metrolyrics.com,2017-01-01,1.416323219,1.589737923,0.2110732953,1.736608836,0.3004027592,1x1,FullScreenInterstitial,nbdb
cnn.com,2017-01-01,2.0121483,2.437140098,3.258345956,4.36237878,3.805672158,NULL,_FORMAT_,_EXECUTION_
littlethings.com,2017-01-01,3.108369078,5.154000578,0.5370993641,5.739678076,1.176091728,300x250,Interstitial,social_hijack
littlethings.com,2017-01-01,NULL,NULL,NULL,NULL,NULL,300x250,Interstitial,standard
littlethings.com,2017-01-01,3.128900352,4.00956945,2.056835699,64.736889889,3.563306476,320x50,Hover,animated
littlethings.com,2017-01-01,NULL,NULL,NULL,NULL,NULL,300x250,MiddleBanner,viewstream
metrolyrics.com,2017-01-01,3.577936642,5.863532023,1.563535712,26.125562924,4.354985324,320x50,Hover,NULL
cnn.com,2017-01-01,1.409177787,0,1.415896148,-0,1.414213562,1x1,Interstitial,kstream
cnn.com,2017-01-01,2.394265614,4.221592862,1.46912517,63.533581008,2.667602746,320x50,Hover,animated
metrolyrics.com,2017-01-01,2.77512868,4.997583432,0.7987535157,11.022332717,3.60734728,320x50,Anchor,NULL
cnn.com,2017-01-01,2.557412417,4.060202434,0.7644670265,-0,2.795386306,1x1,Hover,scroll_reactive
littlethings.com,2017-01-01,3.510589355,4.866308208,2.250678508,18.078882904,4.460866751,320x50,Hover,shake
cnn.com,2017-01-01,2.395799636,2.975680407,0.9451172632,13.377535926,2.634867538,320x50,Hover,glider
metrolyrics.com,2017-01-01,3.461508707,1.314578474,0.811182743,5.294415242,4.089300692,NULL,Hover,NULL
littlethings.com,2017-01-01,1.187465539,0.8595269785,1.204555396,-0,1.12484529,1x1,Interstitial,standard
cnn.com,2017-01-01,NULL,NULL,NULL,NULL,NULL,1x1,MiddleBanner,standard
cnn.com,2017-01-01,2.240379417,1.641402024,1.204203248,-0,1.381620238,300x250,Interstitial,NULL
cnn.com,2017-01-01,2.993881231,5.643764034,1.115439414,19.379803192,3.469157662,320x50,Hover,NULL
littlethings.com,2017-01-01,2.018586677,1.010639887,0.3655095394,-0,2.631157308,320x50,Hover,slide_to_reveal
littlethings.com,2017-01-01,3.955807255,4.419346514,1.495598353,26.423787224,5.1609551,320x50,Hover,NULL
cnn.com,2017-01-01,3.217226411,3.235717476,3.319768088,-0,4.423361957,300x250,MiddleBanner,video_rm
metrolyrics.com,2017-01-01,0.6718685453,1.536732095,0.7879399604,3.039367449,0.4549640044,NULL,BreakOut,NULL
littlethings.com,2017-01-01,3.642632651,3.539078905,0.6212114166,5.611376496,0.5686251618,1x1,Interstitial,kstream
metrolyrics.com,2017-01-01,NULL,NULL,NULL,NULL,NULL,300x250,Interstitial,NULL
littlethings.com,2017-01-01,3.646237029,1.448648075,1.504394112,16.389704718,4.39261384,320x50,Hover,expandable
