DATE,APD,TUS,TUI,TUH,TET,SIZE,FORMAT,EXECUTION
2017-01-01,2.541786662,4.37990675,1.024844386,24.804379467,3.160760339,1x1,Hover,standard
2017-01-01,1.795196617,3.304880455,3.77251154,5.199653989,2.093975655,300x250,MiddleBanner,standard
2017-01-01,3.057394663,5.22693823,2.485422748,8.949996286,3.448401737,1x1,SideKick,animated
2017-01-01,2.666437463,4.573146837,2.885044915,14.434044332,3.298156496,1x1,Anchor,slide_to_reveal
2017-01-01,2.786235953,4.785881417,2.181148218,19.537655058,3.79019072,320x50,Hover,product_gallery
2017-01-01,0.3104371234,1.414499956,0.3104371234,-0,0.2565403777,300x250,VastMiddleBanner,NULL
2017-01-01,3.175277781,4.746154041,2.413413208,18.256581629,4.170708592,NULL,Interstitial,NULL
2017-01-01,3.512169742,4.820918815,1.508320945,12.110706977,3.288802592,1x1,FullScreenInterstitial,360_degree_view
2017-01-01,2.663101554,5.398103858,0.7041663751,36.249481099,3.357472735,1x1,Interstitial,social_hijack
2017-01-01,NULL,NULL,NULL,NULL,NULL,300x250,Banner,animated
2017-01-01,2.421138339,4.156518986,2.822488358,13.436994512,3.753132732,320x50,Anchor,NULL
2017-01-01,2.704860029,4.504421668,2.015147895,31.410849362,3.296246316,320x50,Hover,animated
2017-01-01,2.988068427,3.999561532,4.257610078,9.811778839,3.733302085,1x1,SideKick,360_degree_view
2017-01-01,2.423165171,1.965732154,4.145704759,5.670845364,4.977304809,1x1,Banner,kstream
2017-01-01,3.073513708,4.179365363,4.569665038,15.876565215,3.20335522,320x50,Banner,shake
2017-01-01,3.252952371,1.931190329,1.269204471,6.814582459,3.946231955,1x1,Interstitial,standard
2017-01-01,3.486645415,5.267662389,8.019765193,44.311018903,11.294680278,320x50,BottomBanner,standard
2017-01-01,2.640530768,4.309671662,4.233625684,5.965689902,2.684686663,1x1,MiddleBanner,kstream
2017-01-01,2.134337166,4.521270872,4.523059457,4.421305695,4.151397453,1x1,Venti,animated
2017-01-01,NULL,NULL,NULL,NULL,NULL,1x1,FullScreenInterstitial,glider
2017-01-01,2.009138752,3.462753448,0.2478447156,6.710506981,2.15398367,320x50,Banner,slide_to_reveal
2017-01-01,0,-0,-0,-0,NULL,1x1,_FORMAT_,_EXECUTION_
2017-01-01,3.212091632,5.058003675,1.994548281,24.649907322,4.255887246,320x50,Hover,NULL
2017-01-01,2.968617307,5.07372476,16.651244344,58.585872163,14.292182035,NULL,BottomBanner,NULL
2017-01-01,3.313624411,5.196590744,5.175391418,12.96871659,3.090157042,320x50,TopBanner,animated
2017-01-01,2.326650579,4.412617915,4.832441234,9.504234723,4.306698984,300x250,MiddleBanner,NULL
2017-01-01,NULL,NULL,NULL,NULL,NULL,1x1,FullScreenInterstitial,launcher
2017-01-01,2.15298637,4.121711917,1.800397185,19.360352625,2.860823505,320x50,Hover,slide_to_reveal
2017-01-01,2.797590144,4.537295627,4.68043622,6.646611907,5.022779908,NULL,_FORMAT_,_EXECUTION_
2017-01-01,2.620762964,5.134101805,4.395647862,38.840476648,5.056135491,300x250,BottomBanner,NULL
