DATE,INVIEW_VIEWABLE,INVIEW_MEASURABLE,BELOW_FOLD_AD,ACTIVE_PAGE_DWELL,SCROLL,TIME_UNTIL_SCROLL,TIME_UNTIL_INVIEW,TIME_UNTIL_HOVER,TOTAL_EXPOSURE_TIME,FULL_INVIEW,OLD_BROWSER,SIZE,FORMAT,EXECUTION
2017-09-02,0,1,1,396,0,-1,-1,-1,0,0,0,300x250,MiddleBanner,animated
2017-09-01,0,1,1,393,1,78,-1,-1,0,0,0,300x250,MiddleBanner,video_rm
2017-09-02,0,1,1,456,1,194,-1,-1,0,0,0,300x250,MiddleBanner,video_rm
2017-09-02,0,1,1,238,0,-1,-1,-1,0,0,0,300x250,MiddleBanner,video_rm
2017-09-02,0,1,1,405,0,-1,-1,-1,0,0,0,300x250,MiddleBanner,video_rm
2017-09-01,0,1,1,144,0,-1,-1,-1,0,0,0,320x50,MiddleBanner,standard
2017-09-02,1,1,1,1885,0,-1,1270,-1,1288,1,0,1x1,SideKick,slide_to_reveal
2017-09-03,1,1,1,24890,1,1085,23656,-1,2187,1,0,300x250,MiddleBanner,video_rm
2017-09-02,0,1,1,208,1,171,-1,-1,0,0,1,1x1,Venti,silhouette
2017-09-02,1,1,1,1741,0,-1,1504,-1,1183,1,0,1x1,SideKick,animated
2017-09-02,1,1,1,163987,1,4254,163514,-1,1344,1,0,300x250,MiddleBanner,video_rm
2017-09-02,0,1,1,21970,1,5232,-1,-1,0,0,1,1x1,Venti,video_rm
2017-09-02,1,1,1,18566,1,2500,17891,-1,1545,1,0,300x250,MiddleBanner,video_rm
2017-09-02,1,1,1,2248,1,2244,2046,-1,1123,1,0,1x1,SideKick,game_on
2017-09-02,0,1,1,1175,0,-1,-1,-1,0,0,0,300x250,MiddleBanner,video_rm
2017-09-02,0,1,1,15179,1,124,-1,-1,0,0,0,300x250,MiddleBanner,video_rm
2017-09-02,0,1,1,392,0,-1,-1,-1,0,0,0,300x250,MiddleBanner,video_rm
