ROOT_DOMAIN,STD_APD,AVG_APD,STD_TET,AVG_TET,IMPRESSIONS,REVENUE,AVG_REVENUE,STD_REVENUE
dailymail.co.uk,55081.009807133,27223.304251768,42136.033690665,15618.8446179,107077971,53649.289344667,0.0005010301264,0.003086406951
foodnetwork.com,45795.661904544,15526.945964588,21427.691233544,3347.952741972,91053271,42844.527307226,0.0004705435273,0.002695706559
tvguide.com,30314.867861948,9778.168858571,9424.124666692,1459.688745891,31221175,28522.416618815,0.0009135599995,0.004056777215
people.com,40278.486772279,20392.448267366,11536.882712536,3583.436389659,32960655,27099.410120559,0.0008221745023,0.003142901969
cbssports.com,50352.036039084,27015.230380982,14106.415397267,4456.470409898,32774997,26805.286794038,0.0008178577955,0.003293275242
livestrong.com,46100.919027303,23165.441414064,23078.151708514,6100.631433054,37602105,25091.670953965,0.0006672943165,0.003261914682
247sports.com,27112.92309859,9891.067692758,15692.996125056,4506.484862932,64695059,24564.122012655,0.0003796908511,0.002372854883
chowhound.com,42061.446703186,16005.928011051,23470.264255137,5062.028867443,27719324,24416.248256788,0.0008808385174,0.003926111136
intouchweekly.com,25430.271662134,10300.774911497,7200.361785303,2223.286932273,56183185,24380.618494453,0.0004339486716,0.002601173359
metrolyrics.com,34755.61371848,9596.763067705,19739.875802025,3246.306397694,37204983,24051.362432858,0.0006464554071,0.003141494783
elitedaily.com,36210.115046374,21161.176976065,7951.957800981,2565.761167443,19219955,23737.479615165,0.001235043454,0.00421610776
eonline.com,32114.341988633,11793.818443072,21168.209915131,5066.474920961,16860315,16511.574859614,0.0009793159179,0.003677306594
cnn.com,40813.279312363,15944.307894933,20844.890086623,3879.399669754,22325775,14500.648514211,0.0006495025823,0.003261065944
lifeandstylemag.com,27834.196216128,12104.168258793,6605.874612366,1791.483923753,23186289,14380.847034888,0.0006202306473,0.003133009767
littlethings.com,46777.260569558,26513.497407586,15780.438672306,4706.318767199,21138988,14135.419562877,0.0006686895117,0.003118604086
thespun.com,19002.073345043,5788.744726056,15121.27470777,3308.368930922,12288810,13160.721672335,0.001070951677,0.004564426332
hotnewhiphop.com,42961.297727976,19739.070067836,8774.707562285,1368.146791897,18436876,12312.752150791,0.0006678328883,0.003776052158
nypost.com,35940.505324779,12967.380971335,29617.675571746,8245.08785837,13386078,11401.482971731,0.0008517418598,0.004552326092
metacritic.com,29924.645235855,12336.695857857,11935.985373735,2629.879932796,13858622,10780.228814165,0.0007778716249,0.003557068967
womansworld.com,18679.250788778,6459.18866941,7045.731287996,2155.716353617,16317155,9903.521914343,0.0006069392559,0.003397333333
looper.com,18585.512753716,7531.359115801,13033.602014561,3545.271090569,7725728,9420.033860075,0.001219306952,0.005893388418
telemundo.com,42324.60922724,13773.483864217,29294.425475366,6578.280877961,7884588,9058.209275724,0.001148850045,0.006061754233
gamefaqs.com,39160.540807438,14408.516290899,33826.562183554,10430.723025565,10207693,7958.876570073,0.0007796939593,0.004178658292
okmagazine.com,20213.082456409,7297.457645987,14078.320771343,3385.037970398,5381745,7242.621962123,0.001345775759,0.005480168048
hollywoodreporter.com,45494.462835859,14701.624357892,13282.826866349,2775.704600764,5167163,7211.918579889,0.00139572113,0.005731735695
radaronline.com,34122.231481663,13169.346622237,15837.636334494,3705.604686271,5963547,7062.859723785,0.001184338737,0.005211114574
nbcnews.com,46787.638385008,18037.559188886,44435.985475569,14962.980158044,10467869,6945.229455297,0.0006634807386,0.003627722916
thehill.com,27274.548313734,7420.771546743,20308.634784916,4548.99191551,3838956,6596.186464643,0.001718224034,0.00731377652
today.com,33474.851943142,12125.749738734,30638.123500466,9062.392166912,10551497,6385.883691539,0.0006052111555,0.003749526966
maxpreps.com,23772.337803926,7102.687165139,5217.626830989,640.934572884,13687215,5845.429664935,0.000427072247,0.002157027619
cnbc.com,43700.660450915,17184.149886784,39140.915801743,12341.790285196,8633463,5407.376662637,0.0006263276582,0.003329782556
billboard.com,32104.794234427,9478.689048743,19696.836089136,3975.802704955,4612128,4963.506487212,0.001076185762,0.00456981374
etonline.com,28915.129034912,7634.209309283,8177.235847165,947.126364443,12421279,4817.430823655,0.0003878369388,0.002937188637
