DOMAIN,AVG_APD,STD_APD,AVG_TET,STD_TET,AVG_TUI,STD_TUI,FI_COUNT,FI_SUM
people.com,18046.432,36380.590607919,3143.603,10417.209421721,1945.593,8452.12240174,28959853,16271561
nbcnews.com,19354.787,49048.792063862,15645.425,45595.751275684,2492.017,8782.596648315,22716253,19998155
littlethings.com,23443.463,45836.695453937,5712.926,21958.663116205,12216.436,23746.031032743,20634200,15262940
lifeandstylemag.com,9031.135,22840.753105469,1935.463,7345.443142112,5630.071,17169.424415163,27321479,19223104
womansworld.com,5227.350,14772.887567229,2457.997,7970.72892294,2422.989,9548.036409493,25549946,20143806
m.eonline.com,13075.772,33487.261116087,6057.410,23796.710879384,2808.170,10252.716486766,20598298,17030443
livestrong.com,21889.564,44848.731526834,7087.660,26693.07546243,7092.498,18259.69834655,17819003,13631166
intouchweekly.com,8134.255,21494.315773246,2486.809,8609.443915027,4617.241,15373.057787929,54334393,41575793
cnn.com,16696.922,39208.586752381,7186.049,27843.657628516,5780.472,19987.298183246,30928149,20460162
dailymail.co.uk,28086.395,54934.175911421,18676.588,46345.081616187,4972.087,17584.994917372,27722660,23125505
