DOMAIN,AVG_APD,STD_APD,AVG_TET,STD_TET,AVG_TUI,STD_TUI,FI_COUNT,FI_SUM
foodnetwork.com,14296.677,44375.4712633,4217.549,23751.447183046,4662.291,23618.651916441,104421641,49791669
people.com,14127.460,36336.119182805,2335.739,9082.148954185,1716.461,6799.642763484,171628248,100122303
nbcnews.com,16926.944,47669.08344616,10389.148,37405.772409135,2128.520,7519.999375465,117044957,94768814
littlethings.com,15361.727,38986.117036184,3799.259,15559.255611179,7251.252,18365.270690409,273565946,211908078
womansworld.com,5489.442,16258.031180866,2085.626,7301.437601733,1746.605,6644.440672773,97811433,71067063
lifeandstylemag.com,4772.435,15180.922561854,1339.253,5854.064082584,2407.365,9612.234541094,210138374,121238391
intouchweekly.com,6045.082,17648.549063195,1962.603,7839.058273798,2952.575,10941.956907473,214519339,150050005
dailymail.co.uk,28254.563,58061.049952391,10752.064,36247.462664137,7873.762,24076.744734058,181255903,130412295
cnn.com,17004.420,42541.376235237,7297.819,28808.204082657,4270.334,16383.25073244,218266406,154557558
today.com,8791.259,30975.020867273,5752.438,25307.90248537,2290.153,7126.676442354,117448509,104623166
