FORMAT,AVG_APD,STD_APD,AVG_TET,STD_TET,AVG_TUI,STD_TUI,FI_COUNT,FI_SUM
SiteSkin,62667.068,82547.729173109,50288.517,78819.859159358,4000.344,14599.29651014,29,29
BreakOut,14267.983,37992.728839332,10751.599,34165.037358256,2581.515,9411.750332111,47851005,40641212
Hover,14153.079,37896.513240746,10503.923,34558.322018929,2674.844,9212.796159419,225126196,188828060
SideKick,13465.790,36258.038023423,9667.405,31623.734317218,2215.898,7679.66518222,76666799,63067329
Anchor,12700.264,36409.346384452,7806.991,29116.711551753,2124.008,7664.022488811,80090477,65116430
Lightning,8897.777,11251.432199858,7722.091,8393.373296357,1895.698,6035.609959731,4744612,4053467
Banner,10511.003,24277.12497935,6989.997,17177.101094975,2664.248,14154.388311651,17915642,13239845
Interstitial,5561.847,20837.03444255,3396.613,16087.233792079,1341.198,2951.761854893,62685887,56399776
Spotlight,20313.032,40963.382472337,2436.755,8855.973446719,10733.781,27666.693070279,2614969,1182678
MiddleBanner,21415.683,43290.725816819,2377.948,7657.693301641,9766.016,26380.147601824,155636227,76964063
Marquee,6031.697,18451.643731467,2033.245,12177.635835949,2782.311,10365.546877179,542958,234911
FullScreenInterstitial,8238.277,30926.146780661,2011.676,8399.036000161,904.796,2413.211869687,28246037,26811321
TopBanner,10737.880,34319.185776938,1814.709,9121.146443074,3202.199,19137.666971577,7813173,4073298
Venti,24983.203,46677.597313894,1474.674,5289.525823455,12353.658,29514.369034777,12618101,4855705
Sideline,1404.000,1260.939332403,744.000,645.442483882,1255.333,1144.002767916,3,2
BottomBanner,4766.822,22772.584520537,40.545,835.656251099,997.396,12135.855329271,7975341,209923
VastMiddleBanner,0.000,0,0.000,0,-1.000,0,2,0
