HOST,ID,NAME
247sports.com,IAB17,Sports
8tracks.com,IAB1,Arts & Entertainment
90min.com,IAB17,Sports
abc.soapsindepth.com,IAB1,Arts & Entertainment
addapinch.com,IAB8,Food & Drink
ads.demo.kargo.com,IAB1,Arts & Entertainment
adtag.krg.iovast,IAB1,Arts & Entertainment
adweek.com,IAB1,Arts & Entertainment
agriculture.com,IAB20,Travel
ahoramismo.com,IAB12,News
airliners.net,IAB20,Travel
allday.com,IAB1,Arts & Entertainment
allpeoplequilt.com,IAB10,Home & Garden
allrecipes.com,IAB8,Food & Drink
allrecipes.com.mx,IAB8,Food & Drink
allyou.com,IAB6,Family & Parenting
amc.com,IAB1,Arts & Entertainment
americatv.com.pe,IAB1,Arts & Entertainment
americatv.com.penoticias,IAB12,News
apartmenttherapy.com,IAB10,Home & Garden
apple.comnews,IAB12,News
aroundme.com,IAB20,Travel
askmen.com,IAB1,Arts & Entertainment
aspire.com,IAB2,Automotive
aspire.jo,IAB1,Arts & Entertainment
atvrider.com,IAB2,Automotive
au.yahoo.com,IAB12,News
aww.com.au,IAB1,Arts & Entertainment
babycenter.com,IAB6,Family & Parenting
babygaga.com,IAB6,Family & Parenting
babynames.com,IAB6,Family & Parenting
baggersmag.com,IAB2,Automotive
balloverall.com,IAB17,Sports
beautyriot.com,IAB18,Style & Fashion
bellezaymoda.univision.comshowsnuestra-belleza-latina,IAB1,Arts & Entertainment
bestproducts.com,IAB1,Arts & Entertainment
betterrecipes.com,IAB8,Food & Drink
bgr.com,IAB12,News
bhg.com,IAB6,Family & Parenting
bhg.com,IAB10,Home & Garden
bicycling.com,IAB7,Health & Fitness
billboard.com,IAB1,Arts & Entertainment
bleacherreport.com,IAB17,Sports
blogher.com,IAB6,Family & Parenting
bloomberg.com,IAB12,News
bloomberg.comeurope,IAB3,Business
boatingmag.com,IAB20,Travel
bolavip.com,IAB17,Sports
bossip.com,IAB1,Arts & Entertainment
broadly.vice.com,IAB1,Arts & Entertainment
brobible.com,IAB1,Arts & Entertainment
buscamas.peultimas-noticias,IAB12,News
businessinsider.com,IAB12,News
buzznet.com,IAB1,Arts & Entertainment
byrdie.com,IAB18,Style & Fashion
canaln.pe,IAB12,News
carmagazine.co.uk,IAB2,Automotive
cartoonnetwork.com,IAB1,Arts & Entertainment
cbs.com,IAB1,Arts & Entertainment
cbs.soapsindepth.com,IAB1,Arts & Entertainment
cbsnews.com,IAB12,News
cbssports.com,IAB17,Sports
cbssports.comfantasygames,IAB17,Sports
cc.com,IAB1,Arts & Entertainment
celebslam.celebuzz.com,IAB1,Arts & Entertainment
celebuzz.com,IAB1,Arts & Entertainment
chowhound.com,IAB8,Food & Drink
chron.com,IAB12,News
classiccarsforsale.co.uk,IAB2,Automotive
clipd.com,IAB1,Arts & Entertainment
closerweekly.com,IAB1,Arts & Entertainment
clutchmagonline.com,IAB18,Style & Fashion
cmt.com,IAB1,Arts & Entertainment
cnbc.com,IAB12,News
cnet.com,IAB19,Technology & Computing
cnet.comes,IAB19,Technology & Computing
cnet.comuk,IAB1,Arts & Entertainment
cnn.com,IAB12,News
coastalliving.com,IAB8,Food & Drink
collegespun.com,IAB17,Sports
