PUBLISHER,APD,TET,PERCENT_OF_DWELL,TUI,PERCENT_OF_USERS_SCROLL
xxlmag,8929.429,3412.738,38,1128.621,39
tvguide,9927.209,3868.176,39,1345.561,65
thehill,15171.699,3659.570,24,1105.787,41
littlethings,8368.268,2028.358,24,1135.693,53
closerweekly,3599.180,1750.737,49,1232.300,39
metrolyrics,9583.512,3768.396,39,1593.901,65
nypost,17305.873,1777.217,10,1166.791,67
eonline,7298.036,5558.101,76,1652.468,44
gamefaqs,17559.960,4436.251,25,1265.338,67
j-14,3539.718,1463.696,41,882.361,52
cnn,18727.047,1916.373,10,1122.032,64
livestrong,12357.758,2999.080,24,7483.829,-100
people,12309.500,2559.500,21,1648.500,0
menshealth,15308.472,3060.188,20,1309.209,57
thedailybeast,13533.805,3140.892,23,1061.094,36
telemundo,10527.933,3981.326,38,1275.777,39
tmz,13528.580,4277.064,32,1177.228,48
247sports,6279.717,2216.534,35,1098.505,58
chowhound,13317.966,4399.359,33,1335.680,70
gamespot,15779.734,3338.998,21,1163.711,67
hotnewhiphop,10795.811,3861.114,36,1387.977,47
fhm,2992.859,1603.390,54,1028.529,24
obsev,10676.372,2235.015,21,1134.528,81
hollywoodreporter,12425.194,3474.322,28,1294.633,56
etonline,10190.776,3835.433,38,1416.077,63
cbsnews,17664.789,4908.356,28,1139.851,62
google,33711.576,3163.261,9,21772.897,-100
food,45556.055,8411.666,18,38056.722,-100
usatoday,16633.549,2327.096,14,1344.533,58
totalprosports,5852.212,2899.508,50,1045.529,36
firstforwomen,4251.829,1684.062,40,1199.964,26
nbcsports,127658.105,117651.157,92,973.789,11
lifeandstylemag,3516.921,1708.070,49,1044.520,37
womansworld,4373.518,1772.180,41,1188.151,28
intouchweekly,4785.163,1932.365,40,1150.420,39
