PUBLISHER,APD,TET,PERCENT_OF_DWELL,TUI,PERCENT_OF_USERS_SCROLL
xxlmag,41105.980,3719.916,9,34309.528,76
nbcnews,67245.288,14483.888,22,4865.160,82
tvguide,32774.726,3371.914,10,23459.743,93
hgtv,29088.039,3892.059,13,12062.053,88
littlethings,30205.358,5823.427,19,18594.636,96
thehill,46151.081,7771.725,17,29580.265,-100
closerweekly,31656.353,3834.238,12,25203.200,94
metrolyrics,60190.518,2006.960,3,47037.188,96
eonline,18901.853,3655.548,19,4469.858,92
nypost,59552.499,5064.130,9,39116.738,98
j-14,33234.942,3253.489,10,26972.264,94
gamefaqs,59939.273,4267.150,7,49003.654,98
msnbc,1215.000,1158.000,95,1012.000,100
livestrong,26804.820,5133.264,19,11866.982,93
cnn,48754.809,4620.695,9,35548.683,94
askmen,21406.745,3348.061,16,1461.444,81
people,17773.048,4659.997,26,3869.403,97
menshealth,16578.317,4060.866,24,4569.499,91
ew,19082.561,3999.558,21,7014.077,100
thedailybeast,47328.009,6997.924,15,26984.699,93
tmz,48318.856,2024.484,4,32762.151,46
telemundo,28627.631,4888.444,17,12333.208,89
247sports,19958.946,4353.086,22,11856.949,91
chowhound,23955.899,4318.255,18,10192.198,87
gamespot,19781.005,3169.559,16,7403.691,92
hotnewhiphop,58953.730,2726.043,5,44517.924,96
fhm,13752.284,2142.127,16,10639.020,96
hollywoodreporter,71814.999,3209.709,4,57474.310,89
etonline,22958.158,2868.889,12,11854.876,94
google,26606.862,3182.422,12,17225.923,-100
cbsnews,35264.870,4934.502,14,20830.225,98
food,29885.801,5613.912,19,16478.154,90
scarymommy,86602.900,3355.014,4,81689.759,99
si,30807.711,4698.946,15,5507.569,98
usatoday,58096.200,29924.000,52,13013.400,20
totalprosports,46651.685,2826.120,6,42118.934,94
firstforwomen,20703.822,3037.080,15,15128.871,94
nbcsports,11907.296,2767.130,23,6517.393,-77
cnbc,39631.353,6564.414,17,21404.905,87
foodnetwork,49329.928,2738.509,6,35769.116,92
lifeandstylemag,24792.393,3200.977,13,19225.175,95
womansworld,28639.954,3497.988,12,21670.714,95
elitedaily,26875.899,3329.782,12,20597.904,91
today,107413.947,87631.105,82,17260.684,26
travelchannel,30669.839,4075.866,13,14456.205,88
intouchweekly,30531.096,3757.732,12,23410.826,94
allrecipes,32272.045,3854.794,12,14651.426,93
diynetwork,38975.551,3445.573,9,21788.592,94
