PUBLISHER,IMPRESSIONS,APD
ranker,1270752,162599.721
vice,5510,144726.597
smithsonianmag,125478,129698.876
univision,31963,126988.538
vh1,777035,115692.371
rollingstone,445436,115069.911
saltwatersportsman,3189,110481.124
heavy,13968,109499.432
wikia,268978,108337.981
motorcyclecruiser,4339,105408.947
kotaku,4337,22793.319
lifehacker,1395,23917.367
jalopnik,3475,24042.154
ratemyprofessors,39580,27458.811
movietickets,1167,31053.257
babygaga,1211122,35313.483
diynetwork,18280409,37766.451
looper,1420698,38201.965
firstforwomen,3278592,38435.407
greatamericancountry,1320594,38896.115
