FORMAT,AVG_APD,STD_APD,AVG_TET,STD_TET,AVG_TUI,STD_TUI,FI_COUNT,FI_SUM
BreakOut,13766.207,38060.152283852,9307.720,31579.812554494,2110.726,7855.055118521,310252963,260138594
Banner,11954.520,39362.874133871,7268.216,30741.345041247,2180.289,12909.286299017,155697419,125831288
Hover,13089.995,38177.935742625,7902.435,30092.607677501,2359.020,7754.727938684,1342024783,1100049480
SideKick,12188.418,36677.830857645,6829.692,26826.39167719,2249.875,7329.865849727,335425887,279442130
Marquee,11195.372,34238.870722528,4267.599,20959.142708947,4064.766,17155.574301317,40754673,24499763
Anchor,13904.822,40155.687228523,4109.751,19087.375210437,2050.603,7177.430731536,352634546,220409655
VastInterstitial,5844.627,27612.011217675,3053.775,14035.709206556,464.779,1710.887740327,264657,131455
Interstitial,8355.411,32379.603621987,2129.199,12044.983472052,875.331,3629.268867692,488715738,441869980
VastMiddleBanner,11300.125,37712.703718097,3031.577,11337.807817166,4742.296,17661.255383777,17460166,5877480
SiteSkin,11648.734,33926.653547174,1795.041,11314.80635327,2259.957,13823.330436404,678299,186833
FullScreenInterstitial,9108.423,33649.406128667,2114.887,8965.129560915,984.645,3336.156197332,238226890,226555880
Sideline,7169.581,26909.64263934,2997.775,8553.454598699,1487.359,3988.908706777,46222,38854
TopBanner,8508.332,30146.901866742,1518.179,8346.691737449,2440.184,16055.070608004,73543546,39699071
InstantNative,18829.314,42369.670156977,3128.311,8007.866675963,3544.397,14620.964585656,2196117,1050537
MiddleBanner,19887.719,43852.834152333,2349.786,7844.502367773,9022.080,25033.547042619,727503430,355273376
Spotlight,18610.049,38955.87817434,2060.184,7694.070037633,7696.367,23061.647206824,25267991,10891831
Lightning,9183.042,15678.413749579,5728.739,6897.610914875,2197.269,6414.848435934,22853171,18600739
OutstreamVideo,20657.461,16760.391237528,9973.923,6896.974209246,3150.076,9234.558620205,13,12
Venti,22160.538,48237.444037894,1258.506,4969.510458083,10333.328,28818.331455846,124811935,39319765
BottomBanner,3548.899,18611.41952649,84.735,1768.750574558,951.742,10787.470204918,135544668,4765970
Breakout,447.500,462.308338666,0.000,0,-1.000,0,4,0
