DOMAIN,DATE,APD,TUS,TUI,TUH,TET,SIZE,FORMAT,EXECUTION
littlethings.com,2017-01-01,9325.297,3942.137,2213.204,453.601,8096.071,320x50,Hover,glider
metrolyrics.com,2017-01-01,4615.277,2094.555,2368.000,-1.000,3330.055,320x50,Hover,shake
littlethings.com,2017-01-01,2514.000,2486.000,2514.000,-1.000,1325.000,300x250,Interstitial,standard
metrolyrics.com,2017-01-01,7968.138,3566.333,1921.811,136.727,5113.450,1x1,Anchor,expandable
littlethings.com,2017-01-01,10308.012,2136.006,2403.538,169.538,7283.358,320x50,Hover,product_gallery
cnn.com,2017-01-01,2.000,6204.000,-1.000,-1.000,0.000,1x1,MiddleBanner,standard
cnn.com,2017-01-01,18370.001,5497.476,2871.421,48.580,16167.311,320x50,Hover,animated
cnn.com,2017-01-01,842.500,300000.000,840.500,-1.000,563.500,1x1,Interstitial,kstream
littlethings.com,2017-01-01,10263.516,3917.952,2473.933,265.766,7383.431,1x1,Hover,expandable
littlethings.com,2017-01-01,10863.938,3885.264,959.726,45.318,1425.241,300x250,Interstitial,NULL
littlethings.com,2017-01-01,7856.696,2536.147,2456.062,382.572,5379.323,320x50,Hover,expandable
littlethings.com,2017-01-01,5729.250,3559.821,2218.642,-1.000,4342.250,320x50,Hover,slide_to_reveal
littlethings.com,2017-01-01,9197.689,3010.002,2780.844,681.919,1907.540,1x1,Anchor,animated
cnn.com,2017-01-01,17950.928,24125.000,504.000,-1.000,12831.071,300x250,MiddleBanner,video_rm
cnn.com,2017-01-01,11048.716,3638.877,2338.929,332.519,8863.423,320x50,Hover,NULL
cnn.com,2017-01-01,1366.000,7500.000,1366.000,-1.000,1058.000,300x250,Interstitial,animated
littlethings.com,2017-01-01,1828.495,2094.609,1427.399,24.998,1003.942,300x250,Interstitial,social_hijack
metrolyrics.com,2017-01-01,11305.605,3578.789,2005.372,370.240,5601.417,1x1,Anchor,animated
littlethings.com,2017-01-01,17872.734,5432.095,2603.202,-1.000,15852.819,320x50,Hover,holdplay
metrolyrics.com,2017-01-01,8780.875,3280.455,2426.185,196.053,6605.430,320x50,Hover,NULL
cnn.com,2017-01-01,16474.258,5023.621,2374.888,385.589,13347.174,1x1,Hover,slide_to_reveal
metrolyrics.com,2017-01-01,15743.891,4842.920,2008.768,406.347,6325.429,320x50,Anchor,NULL
metrolyrics.com,2017-01-01,6281.812,2556.625,2234.375,257.937,4551.000,320x50,Hover,expandable
cnn.com,2017-01-01,10385.052,1440.526,8378.894,-1.000,58.789,1x1,Banner,kstream
littlethings.com,2017-01-01,7154.794,2974.784,1457.030,315.828,6152.488,1x1,BreakOut,animated
metrolyrics.com,2017-01-01,10251.327,3462.213,1447.344,359.628,7933.152,1x1,BreakOut,animated
